date,estimate_type,tenure,households
30 Jun 1991,as at,total,1252600
30 Sep 1991,as at,total,1256200
31 Dec 1991,as at,total,1260000
31 Mar 1992,as at,total,1264000
30 Jun 1992,as at,total,1268200
30 Sep 1992,as at,total,1271900
31 Dec 1992,as at,total,1275800
31 Mar 1993,as at,total,1279700
30 Jun 1993,as at,total,1284000
30 Sep 1993,as at,total,1287900
31 Dec 1993,as at,total,1291900
31 Mar 1994,as at,total,1296400
30 Jun 1994,as at,total,1300800
30 Sep 1994,as at,total,1305100
31 Dec 1994,as at,total,1310100
31 Mar 1995,as at,total,1315600
30 Jun 1995,as at,total,1321400
30 Sep 1995,as at,total,1326200
31 Dec 1995,as at,total,1330800
31 Mar 1996,as at,total,1335300
30 Jun 1996,as at,total,1340200
30 Sep 1996,as at,total,1344300
31 Dec 1996,as at,total,1348800
31 Mar 1997,as at,total,1352800
30 Jun 1997,as at,total,1357000
30 Sep 1997,as at,total,1360900
31 Dec 1997,as at,total,1365500
31 Mar 1998,as at,total,1370800
30 Jun 1998,as at,total,1375600
30 Sep 1998,as at,total,1379800
31 Dec 1998,as at,total,1383400
31 Mar 1999,as at,total,1387000
30 Jun 1999,as at,total,1390900
30 Sep 1999,as at,total,1395100
31 Dec 1999,as at,total,1400100
31 Mar 2000,as at,total,1405700
30 Jun 2000,as at,total,1410400
30 Sep 2000,as at,total,1414200
31 Dec 2000,as at,total,1418000
31 Mar 2001,as at,total,1421800
30 Jun 2001,as at,total,1425200
30 Sep 2001,as at,total,1429400
31 Dec 2001,as at,total,1434200
31 Mar 2002,as at,total,1439300
30 Jun 2002,as at,total,1444600
30 Sep 2002,as at,total,1449500
31 Dec 2002,as at,total,1455500
31 Mar 2003,as at,total,1462300
30 Jun 2003,as at,total,1470200
30 Sep 2003,as at,total,1476200
31 Dec 2003,as at,total,1482900
31 Mar 2004,as at,total,1490700
30 Jun 2004,as at,total,1498400
30 Sep 2004,as at,total,1506200
31 Dec 2004,as at,total,1514200
31 Mar 2005,as at,total,1520800
30 Jun 2005,as at,total,1528000
30 Sep 2005,as at,total,1534700
31 Dec 2005,as at,total,1540100
31 Mar 2006,as at,total,1546300
30 Jun 2006,as at,total,1552600
30 Sep 2006,as at,total,1557300
31 Dec 2006,as at,total,1561600
31 Mar 2007,as at,total,1566900
30 Jun 2007,as at,total,1571600
30 Sep 2007,as at,total,1576200
31 Dec 2007,as at,total,1581100
31 Mar 2008,as at,total,1586000
30 Jun 2008,as at,total,1590400
30 Sep 2008,as at,total,1594200
31 Dec 2008,as at,total,1598200
31 Mar 2009,as at,total,1601400
30 Jun 2009,as at,total,1604000
30 Sep 2009,as at,total,1606100
31 Dec 2009,as at,total,1608600
31 Mar 2010,as at,total,1611400
30 Jun 2010,as at,total,1614600
30 Sep 2010,as at,total,1617400
31 Dec 2010,as at,total,1620500
31 Mar 2011,as at,total,1623400
30 Jun 2011,as at,total,1626000
30 Sep 2011,as at,total,1628200
31 Dec 2011,as at,total,1630400
31 Mar 2012,as at,total,1633300
30 Jun 2012,as at,total,1636000
30 Sep 2012,as at,total,1638900
31 Dec 2012,as at,total,1641700
31 Mar 2013,as at,total,1645000
30 Jun 2013,as at,total,1648500
30 Sep 2013,as at,total,1653700
31 Dec 2013,as at,total,1658500
31 Mar 2014,as at,total,1664400
30 Jun 2014,as at,total,1670600
30 Sep 2014,as at,total,1677500
31 Dec 2014,as at,total,1683500
31 Mar 2015,as at,total,1690500
30 Jun 2015,as at,total,1697500
30 Sep 2015,as at,total,1705100
31 Dec 2015,as at,total,1711500
31 Mar 2016,as at,total,1718600
30 Jun 2016,as at,total,1726800
30 Sep 2016,as at,total,1735400
31 Dec 2016,as at,total,1742500
31 Mar 2017,as at,total,1751100
30 Jun 2017,as at,total,1760300
30 Sep 2017,as at,total,1769000
31 Dec 2017,as at,total,1776700
31 Mar 2018,as at,total,1785100
30 Jun 2018,as at,total,1794800
30 Sep 2018,as at,total,1801900
31 Dec 2018,as at,total,1808300
31 Mar 2019,as at,total,1816200
30 Jun 2019,as at,total,1823700
30 Sep 2019,as at,total,1831100
31 Dec 2019,as at,total,1838900
31 Mar 2020,as at,total,1847100
30 Jun 2020,as at,total,1856000
30 Sep 2020,as at,total,1864500
31 Dec 2020,as at,total,1872300
31 Mar 2021,as at,total,1880500
30 Jun 2021,as at,total,1889500
30 Sep 2021,as at,total,1899500
31 Dec 2021,as at,total,1908700
30 Jun 1991,as at,owner_occupied,922100
30 Sep 1991,as at,owner_occupied,922800
31 Dec 1991,as at,owner_occupied,923600
31 Mar 1992,as at,owner_occupied,924500
30 Jun 1992,as at,owner_occupied,925600
30 Sep 1992,as at,owner_occupied,926300
31 Dec 1992,as at,owner_occupied,927100
31 Mar 1993,as at,owner_occupied,927900
30 Jun 1993,as at,owner_occupied,929100
30 Sep 1993,as at,owner_occupied,929800
31 Dec 1993,as at,owner_occupied,930700
31 Mar 1994,as at,owner_occupied,932000
30 Jun 1994,as at,owner_occupied,933100
30 Sep 1994,as at,owner_occupied,934100
31 Dec 1994,as at,owner_occupied,935600
31 Mar 1995,as at,owner_occupied,937500
30 Jun 1995,as at,owner_occupied,939600
30 Sep 1995,as at,owner_occupied,941000
31 Dec 1995,as at,owner_occupied,942100
31 Mar 1996,as at,owner_occupied,943200
30 Jun 1996,as at,owner_occupied,944800
30 Sep 1996,as at,owner_occupied,945800
31 Dec 1996,as at,owner_occupied,947000
31 Mar 1997,as at,owner_occupied,947900
30 Jun 1997,as at,owner_occupied,948900
30 Sep 1997,as at,owner_occupied,949700
31 Dec 1997,as at,owner_occupied,950900
31 Mar 1998,as at,owner_occupied,952600
30 Jun 1998,as at,owner_occupied,954000
30 Sep 1998,as at,owner_occupied,955000
31 Dec 1998,as at,owner_occupied,955400
31 Mar 1999,as at,owner_occupied,955900
30 Jun 1999,as at,owner_occupied,956700
30 Sep 1999,as at,owner_occupied,957600
31 Dec 1999,as at,owner_occupied,959000
31 Mar 2000,as at,owner_occupied,960800
30 Jun 2000,as at,owner_occupied,962000
30 Sep 2000,as at,owner_occupied,962600
31 Dec 2000,as at,owner_occupied,963100
31 Mar 2001,as at,owner_occupied,964100
30 Jun 2001,as at,owner_occupied,965700
30 Sep 2001,as at,owner_occupied,967900
31 Dec 2001,as at,owner_occupied,970400
31 Mar 2002,as at,owner_occupied,973200
30 Jun 2002,as at,owner_occupied,976000
30 Sep 2002,as at,owner_occupied,978700
31 Dec 2002,as at,owner_occupied,982000
31 Mar 2003,as at,owner_occupied,985900
30 Jun 2003,as at,owner_occupied,990600
30 Sep 2003,as at,owner_occupied,993900
31 Dec 2003,as at,owner_occupied,997700
31 Mar 2004,as at,owner_occupied,1002200
30 Jun 2004,as at,owner_occupied,1006700
30 Sep 2004,as at,owner_occupied,1011200
31 Dec 2004,as at,owner_occupied,1015800
31 Mar 2005,as at,owner_occupied,1019500
30 Jun 2005,as at,owner_occupied,1023700
30 Sep 2005,as at,owner_occupied,1027400
31 Dec 2005,as at,owner_occupied,1030300
31 Mar 2006,as at,owner_occupied,1033900
30 Jun 2006,as at,owner_occupied,1036600
30 Sep 2006,as at,owner_occupied,1038600
31 Dec 2006,as at,owner_occupied,1040300
31 Mar 2007,as at,owner_occupied,1042600
30 Jun 2007,as at,owner_occupied,1044600
30 Sep 2007,as at,owner_occupied,1046400
31 Dec 2007,as at,owner_occupied,1048500
31 Mar 2008,as at,owner_occupied,1050500
30 Jun 2008,as at,owner_occupied,1052300
30 Sep 2008,as at,owner_occupied,1053600
31 Dec 2008,as at,owner_occupied,1055000
31 Mar 2009,as at,owner_occupied,1055900
30 Jun 2009,as at,owner_occupied,1056400
30 Sep 2009,as at,owner_occupied,1056600
31 Dec 2009,as at,owner_occupied,1057000
31 Mar 2010,as at,owner_occupied,1057600
30 Jun 2010,as at,owner_occupied,1058500
30 Sep 2010,as at,owner_occupied,1059100
31 Dec 2010,as at,owner_occupied,1059900
31 Mar 2011,as at,owner_occupied,1060600
30 Jun 2011,as at,owner_occupied,1061100
30 Sep 2011,as at,owner_occupied,1061300
31 Dec 2011,as at,owner_occupied,1061500
31 Mar 2012,as at,owner_occupied,1062100
30 Jun 2012,as at,owner_occupied,1062700
30 Sep 2012,as at,owner_occupied,1063300
31 Dec 2012,as at,owner_occupied,1063900
31 Mar 2013,as at,owner_occupied,1064700
30 Jun 2013,as at,owner_occupied,1064000
30 Sep 2013,as at,owner_occupied,1067300
31 Dec 2013,as at,owner_occupied,1070500
31 Mar 2014,as at,owner_occupied,1074300
30 Jun 2014,as at,owner_occupied,1078200
30 Sep 2014,as at,owner_occupied,1082700
31 Dec 2014,as at,owner_occupied,1086600
31 Mar 2015,as at,owner_occupied,1091100
30 Jun 2015,as at,owner_occupied,1095600
30 Sep 2015,as at,owner_occupied,1100500
31 Dec 2015,as at,owner_occupied,1104600
31 Mar 2016,as at,owner_occupied,1109200
30 Jun 2016,as at,owner_occupied,1114500
30 Sep 2016,as at,owner_occupied,1120100
31 Dec 2016,as at,owner_occupied,1124700
31 Mar 2017,as at,owner_occupied,1130200
30 Jun 2017,as at,owner_occupied,1136100
30 Sep 2017,as at,owner_occupied,1141800
31 Dec 2017,as at,owner_occupied,1146800
31 Mar 2018,as at,owner_occupied,1152100
30 Jun 2018,as at,owner_occupied,1158400
30 Sep 2018,as at,owner_occupied,1163000
31 Dec 2018,as at,owner_occupied,1167100
31 Mar 2019,as at,owner_occupied,1172200
30 Jun 2019,as at,owner_occupied,1177000
30 Sep 2019,as at,owner_occupied,1181900
31 Dec 2019,as at,owner_occupied,1186900
31 Mar 2020,as at,owner_occupied,1192200
30 Jun 2020,as at,owner_occupied,1197900
30 Sep 2020,as at,owner_occupied,1203400
31 Dec 2020,as at,owner_occupied,1208400
31 Mar 2021,as at,owner_occupied,1213700
30 Jun 2021,as at,owner_occupied,1219500
30 Sep 2021,as at,owner_occupied,1226000
31 Dec 2021,as at,owner_occupied,1231900
30 Jun 1991,as at,rented,288700
30 Sep 1991,as at,rented,291100
31 Dec 1991,as at,rented,293600
31 Mar 1992,as at,rented,296000
30 Jun 1992,as at,rented,298600
30 Sep 1992,as at,rented,301000
31 Dec 1992,as at,rented,303500
31 Mar 1993,as at,rented,306000
30 Jun 1993,as at,rented,308600
30 Sep 1993,as at,rented,311100
31 Dec 1993,as at,rented,313700
31 Mar 1994,as at,rented,316400
30 Jun 1994,as at,rented,319000
30 Sep 1994,as at,rented,321700
31 Dec 1994,as at,rented,324500
31 Mar 1995,as at,rented,327500
30 Jun 1995,as at,rented,330600
30 Sep 1995,as at,rented,333400
31 Dec 1995,as at,rented,336200
31 Mar 1996,as at,rented,339200
30 Jun 1996,as at,rented,342900
30 Sep 1996,as at,rented,346500
31 Dec 1996,as at,rented,350200
31 Mar 1997,as at,rented,353700
30 Jun 1997,as at,rented,357300
30 Sep 1997,as at,rented,360900
31 Dec 1997,as at,rented,364600
31 Mar 1998,as at,rented,368500
30 Jun 1998,as at,rented,372400
30 Sep 1998,as at,rented,376100
31 Dec 1998,as at,rented,379600
31 Mar 1999,as at,rented,383100
30 Jun 1999,as at,rented,386800
30 Sep 1999,as at,rented,390600
31 Dec 1999,as at,rented,394600
31 Mar 2000,as at,rented,398800
30 Jun 2000,as at,rented,402700
30 Sep 2000,as at,rented,406400
31 Dec 2000,as at,rented,410100
31 Mar 2001,as at,rented,413100
30 Jun 2001,as at,rented,413900
30 Sep 2001,as at,rented,415000
31 Dec 2001,as at,rented,416300
31 Mar 2002,as at,rented,417600
30 Jun 2002,as at,rented,419000
30 Sep 2002,as at,rented,420300
31 Dec 2002,as at,rented,421900
31 Mar 2003,as at,rented,423800
30 Jun 2003,as at,rented,425900
30 Sep 2003,as at,rented,427500
31 Dec 2003,as at,rented,429300
31 Mar 2004,as at,rented,431500
30 Jun 2004,as at,rented,433600
30 Sep 2004,as at,rented,435700
31 Dec 2004,as at,rented,437900
31 Mar 2005,as at,rented,439600
30 Jun 2005,as at,rented,441600
30 Sep 2005,as at,rented,443400
31 Dec 2005,as at,rented,444800
31 Mar 2006,as at,rented,446500
30 Jun 2006,as at,rented,450100
30 Sep 2006,as at,rented,453000
31 Dec 2006,as at,rented,455700
31 Mar 2007,as at,rented,458700
30 Jun 2007,as at,rented,461500
30 Sep 2007,as at,rented,464400
31 Dec 2007,as at,rented,467300
31 Mar 2008,as at,rented,470200
30 Jun 2008,as at,rented,473000
30 Sep 2008,as at,rented,475700
31 Dec 2008,as at,rented,478400
31 Mar 2009,as at,rented,480800
30 Jun 2009,as at,rented,483100
30 Sep 2009,as at,rented,485300
31 Dec 2009,as at,rented,487500
31 Mar 2010,as at,rented,489900
30 Jun 2010,as at,rented,492400
30 Sep 2010,as at,rented,494800
31 Dec 2010,as at,rented,497200
31 Mar 2011,as at,rented,499600
30 Jun 2011,as at,rented,502000
30 Sep 2011,as at,rented,504200
31 Dec 2011,as at,rented,506400
31 Mar 2012,as at,rented,508800
30 Jun 2012,as at,rented,511200
30 Sep 2012,as at,rented,513700
31 Dec 2012,as at,rented,516100
31 Mar 2013,as at,rented,518700
30 Jun 2013,as at,rented,528000
30 Sep 2013,as at,rented,529700
31 Dec 2013,as at,rented,531200
31 Mar 2014,as at,rented,533100
30 Jun 2014,as at,rented,535100
30 Sep 2014,as at,rented,537300
31 Dec 2014,as at,rented,539200
31 Mar 2015,as at,rented,541500
30 Jun 2015,as at,rented,543700
30 Sep 2015,as at,rented,546100
31 Dec 2015,as at,rented,548200
31 Mar 2016,as at,rented,550500
30 Jun 2016,as at,rented,553100
30 Sep 2016,as at,rented,555900
31 Dec 2016,as at,rented,558100
31 Mar 2017,as at,rented,560900
30 Jun 2017,as at,rented,563800
30 Sep 2017,as at,rented,566600
31 Dec 2017,as at,rented,569100
31 Mar 2018,as at,rented,571800
30 Jun 2018,as at,rented,574900
30 Sep 2018,as at,rented,577100
31 Dec 2018,as at,rented,579200
31 Mar 2019,as at,rented,581700
30 Jun 2019,as at,rented,584100
30 Sep 2019,as at,rented,586500
31 Dec 2019,as at,rented,589000
31 Mar 2020,as at,rented,591600
30 Jun 2020,as at,rented,594500
30 Sep 2020,as at,rented,597200
31 Dec 2020,as at,rented,599700
31 Mar 2021,as at,rented,602300
30 Jun 2021,as at,rented,605200
30 Sep 2021,as at,rented,608400
31 Dec 2021,as at,rented,611400
30 Jun 1991,as at,free,41800
30 Sep 1991,as at,free,42300
31 Dec 1991,as at,free,42900
31 Mar 1992,as at,free,43500
30 Jun 1992,as at,free,44000
30 Sep 1992,as at,free,44600
31 Dec 1992,as at,free,45200
31 Mar 1993,as at,free,45700
30 Jun 1993,as at,free,46300
30 Sep 1993,as at,free,46900
31 Dec 1993,as at,free,47500
31 Mar 1994,as at,free,48100
30 Jun 1994,as at,free,48700
30 Sep 1994,as at,free,49300
31 Dec 1994,as at,free,49900
31 Mar 1995,as at,free,50500
30 Jun 1995,as at,free,51200
30 Sep 1995,as at,free,51900
31 Dec 1995,as at,free,52500
31 Mar 1996,as at,free,52800
30 Jun 1996,as at,free,52500
30 Sep 1996,as at,free,52000
31 Dec 1996,as at,free,51600
31 Mar 1997,as at,free,51200
30 Jun 1997,as at,free,50800
30 Sep 1997,as at,free,50400
31 Dec 1997,as at,free,50000
31 Mar 1998,as at,free,49600
30 Jun 1998,as at,free,49200
30 Sep 1998,as at,free,48800
31 Dec 1998,as at,free,48300
31 Mar 1999,as at,free,47900
30 Jun 1999,as at,free,47400
30 Sep 1999,as at,free,47000
31 Dec 1999,as at,free,46500
31 Mar 2000,as at,free,46100
30 Jun 2000,as at,free,45700
30 Sep 2000,as at,free,45200
31 Dec 2000,as at,free,44700
31 Mar 2001,as at,free,44700
30 Jun 2001,as at,free,45600
30 Sep 2001,as at,free,46500
31 Dec 2001,as at,free,47500
31 Mar 2002,as at,free,48500
30 Jun 2002,as at,free,49500
30 Sep 2002,as at,free,50500
31 Dec 2002,as at,free,51500
31 Mar 2003,as at,free,52600
30 Jun 2003,as at,free,53700
30 Sep 2003,as at,free,54800
31 Dec 2003,as at,free,55900
31 Mar 2004,as at,free,57000
30 Jun 2004,as at,free,58200
30 Sep 2004,as at,free,59300
31 Dec 2004,as at,free,60500
31 Mar 2005,as at,free,61600
30 Jun 2005,as at,free,62800
30 Sep 2005,as at,free,64000
31 Dec 2005,as at,free,65100
31 Mar 2006,as at,free,66000
30 Jun 2006,as at,free,65900
30 Sep 2006,as at,free,65800
31 Dec 2006,as at,free,65700
31 Mar 2007,as at,free,65600
30 Jun 2007,as at,free,65500
30 Sep 2007,as at,free,65400
31 Dec 2007,as at,free,65300
31 Mar 2008,as at,free,65200
30 Jun 2008,as at,free,65100
30 Sep 2008,as at,free,65000
31 Dec 2008,as at,free,64800
31 Mar 2009,as at,free,64700
30 Jun 2009,as at,free,64500
30 Sep 2009,as at,free,64300
31 Dec 2009,as at,free,64100
31 Mar 2010,as at,free,63900
30 Jun 2010,as at,free,63700
30 Sep 2010,as at,free,63500
31 Dec 2010,as at,free,63300
31 Mar 2011,as at,free,63100
30 Jun 2011,as at,free,62900
30 Sep 2011,as at,free,62700
31 Dec 2011,as at,free,62500
31 Mar 2012,as at,free,62300
30 Jun 2012,as at,free,62100
30 Sep 2012,as at,free,61900
31 Dec 2012,as at,free,61700
31 Mar 2013,as at,free,61600
30 Jun 2013,as at,free,56500
30 Sep 2013,as at,free,56700
31 Dec 2013,as at,free,56800
31 Mar 2014,as at,free,57000
30 Jun 2014,as at,free,57200
30 Sep 2014,as at,free,57500
31 Dec 2014,as at,free,57700
31 Mar 2015,as at,free,57900
30 Jun 2015,as at,free,58200
30 Sep 2015,as at,free,58400
31 Dec 2015,as at,free,58600
31 Mar 2016,as at,free,58900
30 Jun 2016,as at,free,59200
30 Sep 2016,as at,free,59500
31 Dec 2016,as at,free,59700
31 Mar 2017,as at,free,60000
30 Jun 2017,as at,free,60300
30 Sep 2017,as at,free,60600
31 Dec 2017,as at,free,60900
31 Mar 2018,as at,free,61200
30 Jun 2018,as at,free,61500
30 Sep 2018,as at,free,61700
31 Dec 2018,as at,free,62000
31 Mar 2019,as at,free,62200
30 Jun 2019,as at,free,62500
30 Sep 2019,as at,free,62700
31 Dec 2019,as at,free,63000
31 Mar 2020,as at,free,63300
30 Jun 2020,as at,free,63600
30 Sep 2020,as at,free,63900
31 Dec 2020,as at,free,64200
31 Mar 2021,as at,free,64400
30 Jun 2021,as at,free,64700
30 Sep 2021,as at,free,65100
31 Dec 2021,as at,free,65400
30 Jun 1991,mean year ended,total,NA
30 Sep 1991,mean year ended,total,NA
31 Dec 1991,mean year ended,total,NA
31 Mar 1992,mean year ended,total,NA
30 Jun 1992,mean year ended,total,1260200
30 Sep 1992,mean year ended,total,1264100
31 Dec 1992,mean year ended,total,1268000
31 Mar 1993,mean year ended,total,1271900
30 Jun 1993,mean year ended,total,1275900
30 Sep 1993,mean year ended,total,1279800
31 Dec 1993,mean year ended,total,1283800
31 Mar 1994,mean year ended,total,1288000
30 Jun 1994,mean year ended,total,1292100
30 Sep 1994,mean year ended,total,1296400
31 Dec 1994,mean year ended,total,1300800
31 Mar 1995,mean year ended,total,1305500
30 Jun 1995,mean year ended,total,1310500
30 Sep 1995,mean year ended,total,1315700
31 Dec 1995,mean year ended,total,1320900
31 Mar 1996,mean year ended,total,1326000
30 Jun 1996,mean year ended,total,1330800
30 Sep 1996,mean year ended,total,1335400
31 Dec 1996,mean year ended,total,1339900
31 Mar 1997,mean year ended,total,1344300
30 Jun 1997,mean year ended,total,1348600
30 Sep 1997,mean year ended,total,1352800
31 Dec 1997,mean year ended,total,1357000
31 Mar 1998,mean year ended,total,1361300
30 Jun 1998,mean year ended,total,1365900
30 Sep 1998,mean year ended,total,1370600
31 Dec 1998,mean year ended,total,1375200
31 Mar 1999,mean year ended,total,1379400
30 Jun 1999,mean year ended,total,1383300
30 Sep 1999,mean year ended,total,1387200
31 Dec 1999,mean year ended,total,1391200
31 Mar 2000,mean year ended,total,1395600
30 Jun 2000,mean year ended,total,1400400
30 Sep 2000,mean year ended,total,1405200
31 Dec 2000,mean year ended,total,1409800
31 Mar 2001,mean year ended,total,1414100
30 Jun 2001,mean year ended,total,1417900
30 Sep 2001,mean year ended,total,1421700
31 Dec 2001,mean year ended,total,1425600
31 Mar 2002,mean year ended,total,1429800
30 Jun 2002,mean year ended,total,1434500
30 Sep 2002,mean year ended,total,1439400
31 Dec 2002,mean year ended,total,1444500
31 Mar 2003,mean year ended,total,1450100
30 Jun 2003,mean year ended,total,1456200
30 Sep 2003,mean year ended,total,1462700
31 Dec 2003,mean year ended,total,1469500
31 Mar 2004,mean year ended,total,1476400
30 Jun 2004,mean year ended,total,1483500
30 Sep 2004,mean year ended,total,1490800
31 Dec 2004,mean year ended,total,1498500
31 Mar 2005,mean year ended,total,1506100
30 Jun 2005,mean year ended,total,1513600
30 Sep 2005,mean year ended,total,1520900
31 Dec 2005,mean year ended,total,1527700
31 Mar 2006,mean year ended,total,1534100
30 Jun 2006,mean year ended,total,1540400
30 Sep 2006,mean year ended,total,1546300
31 Dec 2006,mean year ended,total,1551800
31 Mar 2007,mean year ended,total,1557000
30 Jun 2007,mean year ended,total,1562000
30 Sep 2007,mean year ended,total,1566700
31 Dec 2007,mean year ended,total,1571500
31 Mar 2008,mean year ended,total,1576300
30 Jun 2008,mean year ended,total,1581100
30 Sep 2008,mean year ended,total,1585700
31 Dec 2008,mean year ended,total,1590100
31 Mar 2009,mean year ended,total,1594100
30 Jun 2009,mean year ended,total,1597800
30 Sep 2009,mean year ended,total,1600900
31 Dec 2009,mean year ended,total,1603700
31 Mar 2010,mean year ended,total,1606300
30 Jun 2010,mean year ended,total,1608900
30 Sep 2010,mean year ended,total,1611600
31 Dec 2010,mean year ended,total,1614500
31 Mar 2011,mean year ended,total,1617500
30 Jun 2011,mean year ended,total,1620400
30 Sep 2011,mean year ended,total,1623200
31 Dec 2011,mean year ended,total,1625700
31 Mar 2012,mean year ended,total,1628200
30 Jun 2012,mean year ended,total,1630700
30 Sep 2012,mean year ended,total,1633300
31 Dec 2012,mean year ended,total,1636100
31 Mar 2013,mean year ended,total,1638900
30 Jun 2013,mean year ended,total,1642000
30 Sep 2013,mean year ended,total,1645400
31 Dec 2013,mean year ended,total,1649300
31 Mar 2014,mean year ended,total,1653800
30 Jun 2014,mean year ended,total,1659000
30 Sep 2014,mean year ended,total,1664800
31 Dec 2014,mean year ended,total,1670900
31 Mar 2015,mean year ended,total,1677200
30 Jun 2015,mean year ended,total,1683900
30 Sep 2015,mean year ended,total,1690700
31 Dec 2015,mean year ended,total,1697600
31 Mar 2016,mean year ended,total,1704600
30 Jun 2016,mean year ended,total,1711800
30 Sep 2016,mean year ended,total,1719300
31 Dec 2016,mean year ended,total,1726900
31 Mar 2017,mean year ended,total,1734900
30 Jun 2017,mean year ended,total,1743100
30 Sep 2017,mean year ended,total,1751500
31 Dec 2017,mean year ended,total,1760000
31 Mar 2018,mean year ended,total,1768500
30 Jun 2018,mean year ended,total,1777100
30 Sep 2018,mean year ended,total,1785500
31 Dec 2018,mean year ended,total,1793600
31 Mar 2019,mean year ended,total,1801400
30 Jun 2019,mean year ended,total,1808900
30 Sep 2019,mean year ended,total,1816200
31 Dec 2019,mean year ended,total,1823700
31 Mar 2020,mean year ended,total,1831400
30 Jun 2020,mean year ended,total,1839300
